commonName,scientificName
Dark-eyed Junco (Pink-sided),junco
Dickcissel,Spiza americana
Double-crested Cormorant,Phalacrocorax auritus
Downy Woodpecker,Picoides pubescens
duck sp.,anas
Dunlin,Calidris alpina
eagle sp.,buteo
Eared Grebe,Podiceps nigricollis
Eastern Bluebird,Sialia sialis
Eastern Phoebe,Sayornis phoebe
Eastern Screech-Owl,Megascops asio
Eastern Towhee,Pipilo erythrophthalmus
Eurasian Collared-Dove,Streptopelia decaocto
Eurasian Tree Sparrow,Passer montanus
European Starling,Sturnus vulgaris
Evening Grosbeak,Coccothraustes vespertinus
falcon sp.,falco
Field Sparrow,Spizella pusilla
finch sp.,finch
Fox Sparrow,Passerella iliaca
Franklin's Gull,Larus pipixan
Gadwall,Anas strepera
Glaucous Gull,Larus hyperboreus
Glaucous Gull X Herring Gull,Larus spp.
Glaucous-winged Gull,Larus glaucescens
Golden Eagle,Aquila chrysaetos
Golden-crowned Kinglet,Regulus satrapa
Golden-crowned Sparrow,Zonotrichia atricapilla
goldeneye sp.,bucephala
goose sp.,goose
Gray Catbird,Dumetella carolinensis
Gray Partridge,Perdix perdix
Gray-crowned Rosy-Finch,Leucosticte tephrocotis
Great Black-backed Gull,Larus marinus
Great Blue Heron,Ardea herodias
Great Egret,Ardea alba
Great Gray Owl,Strix nebulosa
Great Horned Owl,Bubo virginianus
Greater Prairie-Chicken,Tympanuchus cupido
Greater Scaup,Aythya marila
Greater White-fronted Goose,Anser albifrons
Greater White-fronted x Canada Goose hybrid,hybrid
grebe sp.,Podiceps grebe
Green Heron,Butorides virescens
Green-tailed Towhee,Pipilo chlorurus
Green-winged Teal,Anas crecca
grouse sp.,grouse
gull sp.,larus
Gyrfalcon,Falco rusticolus
haemorhous sp.,haemorhous
Hairy Woodpecker,Picoides villosus
Harlequin Duck,Histrionicus histrionicus
Harris's Sparrow,Zonotrichia querula
hawk sp.,hawk
Hermit Thrush,Catharus guttatus
Herring Gull,Larus argentatus
Hooded Merganser,Lophodytes cucullatus
Horned Grebe,Podiceps auritus
Horned Lark,Eremophila alpestris
House Finch,Carpodacus mexicanus
House Sparrow,Passer domesticus
hybrid Canada Goose,hybrid
hybrid gull,hybrid
Hybrid Mallard,hybri
Iceland Gull,Larus glaucoides
Iceland Gull (Thayer's X Iceland),Larus glaucoides
Iceland Gull (Thayer's),Larus thayeri
jay sp.,jay
junco sp.,junco
Killdeer,Charadrius vociferus
King Eider,Somateria spectabilis
Lapland Longspur,Calcarius lapponicus
Lark Bunting,Calamospiza melanocorys
Lark Sparrow,Chondestes grammacus
LeConte's Sparrow,Ammospiza leconteii
Lesser Black-backed Gull,Larus fuscus
Lesser Scaup,Aythya affinis
Lewis's Woodpecker,Melanerpes lewis
Lincoln's Sparrow,Melospiza lincolnii
Loggerhead Shrike,Lanius ludovicianus
Long-eared Owl,Asio otus
Long-tailed Duck,Clangula hyemalis
loon sp,gavia
Mallard,Anas platyrhynchos
Marsh Wren,Cistothorus palustris
meadowlark sp.,Sturnella sp.
merganser sp.,mergus
Merlin,Falco columbarius
Merlin (Prairie),Falco columbarius
Mountain Bluebird,Sialia currucoides
Mourning Dove,Zenaida macroura
Mute Swan,Cygnus olor
Norther Flicker (Yellow-shafted X Red-shafted),Colaptes auratus luteus x cafer
Northern Bobwhite,Colinus virginianus
Northern Cardinal,Cardinalis cardinalis
Northern Flicker,Colaptes auratus
Northern Harrier,Circus cyaneus
Northern Hawk Owl,Surnia ulula
Northern House Wren,Troglodytes aedon
Northern Mockingbird,Mimus polyglottos
Northern Pintail,Anas acuta
Northern Saw-whet Owl,Aegolius acadicus
Northern Shoveler,Anas clypeata
Northern Shrike,Lanius excubitor
Northern Waterthrush,Parkesia noveboracensis
Orange-crowned Warbler,Vermivora celata
Osprey,Pandion haliaetus
Ovenbird,Seiurus aurocapilla
owl sp.,owl
Pacific Loon,Gavia pacifica
Pectoral Sandpiper,Calidris melanotos
Peregrine Falcon,Falco peregrinus
pheucticus sp.,pheucticus
Pied-billed Grebe,Podilymbus podiceps
Pileated Woodpecker,Dryocopus pileatus
Pine Grosbeak,Pinicola enucleator
Pine Siskin,Carduelis pinus
Prairie Falcon,Falco mexicanus
Purple Finch,Carpodacus purpureus
Red Crossbill,Loxia curvirostra
Red-bellied Woodpecker,Melanerpes carolinus
Red-breasted Merganser,Mergus serrator
Red-breasted Nuthatch,Sitta canadensis
Red-headed Woodpecker,Melanerpes erythrocephalus
Red-necked Grebe,Podiceps grisegena
Red-shafted Flicker,colaptes
Red-shouldered Hawk,Buteo lineatus
Red-tailed Hawk,Buteo jamaicensis
Red-tailed Hawk (Harlan's),Buteo jamaicensis harlani
Red-tailed Hawk (Northern),Buteo jamaicensis abieticola
Red-winged Blackbird,Agelaius phoeniceus
Redhead,Aythya americana
Redpoll,Acanthis flammea
Redpoll (Common),Acanthis flammea
Redpoll (Hoary),Acanthis flammea hornemanni
Ring-billed Gull,Larus delawarensis
Ring-necked Duck,Aythya collaris
Ring-necked Pheasant,Phasianus colchicus
Rock Pigeon,Columba livia
Rose-breasted Grosbeak,Pheucticus ludovicianus
Ross's Goose,Chen rossii
Rough-legged Hawk,Buteo lagopus
Ruby-crowned Kinglet,Regulus calendula
Ruddy Duck,Oxyura jamaicensis
Ruffed Grouse,Bonasa umbellus
Rufous-sided Towhee,pipilo
Rusty Blackbird,Euphagus carolinus
Sandhill Crane,Grus canadensis
Savannah Sparrow,Passerculus sandwichensis
Scarlet Tanager,Piranga olivacea
scaup sp.,anthya
scoter sp.,melanitta
Sedge Wren,Cistothorus platensis
Sharp-shinned Hawk,Accipiter striatus
Sharp-tailed Grouse,Tympanuchus phasianellus
shorebird sp.,Scolopax minor
Short-eared Owl,Asio flammeus
shrike sp.,lanius
Slaty-backed Gull,Larus schistisagus
Snow Bunting,Plectrophenax nivalis
Snow Goose,Chen caerulescens
Snowy Owl,Bubo scandiaca
Song Sparrow,Melospiza melodia
Sora,Porzana carolina
sparrow sp.,sparrow
spinus sp.,spinus
Spizella sparrow sp.,Spizella sp.
Spotted Towhee,Pipilo maculatus
Spotted Towhee X Eastern Towhee,hybrid
Spruce Grouse,Falcipennis canadensis
Surf Scoter,Melanitta
Surf/Black Scoter,Melanitta perspicillata/americana
Swainson's Hawk,Buteo swainsoni
Swainson's Thrush,Catharus ustulatus
Swamp Sparrow,Melospiza georgiana
swan sp.,cygnus
teal sp.,anas
Tennessee Warbler,Vermivora peregrina
Townsend's Solitaire,Myadestes townsendi
Trumpeter Swan,Cygnus buccinator
Tufted Duck,Aythya fuligula
Tufted Titmouse,Baeolophus bicolor
Tundra Swan,Cygnus columbianus
Turkey Vulture,Cathartes aura
Varied Thrush,Ixoreus naevius
Vesper Sparrow,Pooecetes gramineus
Virginia Rail,Rallus limicola
waxwing sp.,bombycilla
Western Grebe,Aechmophorus occidentalis
Western Meadowlark,Sturnella neglecta
White-breasted Nuthatch,Sitta carolinensis
White-crowned Sparrow,Zonotrichia leucophrys
White-throated Sparrow,Zonotrichia albicollis
White-winged Crossbill,Loxia leucoptera
White-winged Dove,Zenaida asiatica
White-winged Scoter,Melanitta fusca
Wild Turkey,Meleagris gallopavo
Wilson's Snipe,Gallinago gallinago
Winter Wren,Troglodytes troglodytes
Wood Duck,Aix sponsa
Wood Thrush,Hylocichla mustelina
woodpecker sp.,picoides
wren sp.,wren
Yellow-bellied Sapsucker,Sphyrapicus varius
Yellow-headed Blackbird,Xanthocephalus xanthocephalus
Yellow-rumped Warbler,Dendroica coronata
